mega_cd,mega_nm,cty_cd,cty_nm,from_nm,to_nm,from_cd,to_cd,change_date,reverse
28,인천광역시,2811,중구,영종출장중산지소,영종동,28110624,28110620,20160101,
28,인천광역시,2811,중구,용유출장무의지소,용유동,28110637,28110630,20160101,
28,인천광역시,2818,연수구,송도1동,송도3동,28185820,28185840,20140924,1개에서1개추가생성
28,인천광역시,2818,연수구,송도2동,송도4동,28185830,28185850,20190101,1개에서1개추가생성
28,인천광역시,2818,연수구,송도4동,송도5동,28185850,28185860,20201026,1개에서1개추가생성
28,인천광역시,2820,남동구,장수서창동,서창2동,28200650,28200655,20181105,1개에서1개추가생성
28,인천광역시,2824,계양구,계양1동,계양3동,28245710,28245730,20150401,1개에서1개추가생성
28,인천광역시,2826,서구,검단1동,검단동,28260630,28260680,20180701,
28,인천광역시,2826,서구,검단2동,불로대곡동,28260640,28260690,20180701,
28,인천광역시,2826,서구,검단3동,원당동,28260650,28260700,20180701,
28,인천광역시,2826,서구,검단4동,당하동,28260660,28260710,20180701,
28,인천광역시,2826,서구,검단5동,오류왕길동,28260670,28260720,20180701,
28,인천광역시,2826,서구,원당동,아라동,28260700,28260740,20210601,
28,인천광역시,2826,서구,당하동,마전동,28260710,28260730,20191104,1개에서1개추가생성
28,인천광역시,2826,서구,청라2동,청라3동,28260537,28260539,20160701,1개에서1개추가생성
28,인천광역시,2826,서구,검암경서동,청라3동,28260515,28260539,20180701,1개에서일부1개편입
29,광주광역시,2915,남구,효덕동,진월동,29155710,29155705,20210716,1개에서1개추가생성
29,광주광역시,2917,북구,건국동,신용동,29170695,29170697,20200101,1개에서1개추가생성
30,대전광역시,3017,서구,가수원동,도안동,30170590,30170593,20220620,1개에서1개추가생성
30,대전광역시,3020,유성구,진잠동,학하동,30200520,30200526,20211101,1개에서1개추가생성
30,대전광역시,3020,유성구,온천1동,상대동,30200530,30200527,20211101,2개(원신흥동)에서1개추가생성
30,대전광역시,3020,유성구,노은2동,노은3동,30200547,30200548,20150101,1개에서1개추가생성
31,울산광역시,3111,중구,북정동,성안동,31110560,31110650,20140901,
31,울산광역시,3171,울주군,청량면,청량읍,31710330,31710262,20180401,
31,울산광역시,3171,울주군,삼남면,삼남읍,31710390,31710265,20200101,
36,세종특별자치시,3611,세종특별자치시,한솔동,도담동,36110510,36110520,20140210,1개에서1개추가생성
36,세종특별자치시,3611,세종특별자치시,한솔동,아름동,36110510,36110530,20150126,1개에서1개추가생성
36,세종특별자치시,3611,세종특별자치시,한솔동,종촌동,36110510,36110540,20160401,1개에서1개추가생성
36,세종특별자치시,3611,세종특별자치시,한솔동,고운동,36110510,36110550,20170201,1개에서1개추가생성
36,세종특별자치시,3611,세종특별자치시,한솔동,보람동,36110510,36110560,20170201,1개에서1개추가생성
36,세종특별자치시,3611,세종특별자치시,보람동,대평동,36110560,36110570,20170716,1개에서1개추가생성
36,세종특별자치시,3611,세종특별자치시,한솔동,새롬동,36110510,36110515,20171001,세종특별자치시신설
36,세종특별자치시,3611,세종특별자치시,보람동,소담동,36110560,36110555,20180723,1개에서1개추가생성
36,세종특별자치시,3611,세종특별자치시,새롬동,다정동,36110515,36110580,20200801,1개에서1개추가생성
36,세종특별자치시,3611,세종특별자치시,도담동,해밀동,36110520,36110525,20210928,1개에서1개추가생성
36,세종특별자치시,3611,세종특별자치시,소담동,반곡동,36110555,36110556,20211026,1개에서1개추가생성
41,경기도,4111,수원시,권선구 금호동,권선구 금곡동,41113660,41113662,20160101,1개에서2개로분동
